Unit_ID,District,Subdistrict,Village_No,Unit_No,Latitude,Longitude,Eligible_Voters,Voters_Showed_Up,Allocated_Ballots,Used_Ballots,Valid_Ballots,Invalid_Ballots,No_Vote_Ballots,Remaining_Ballots
KK10_CONST_โคกโพธิ์ไชย_บ้านโคก_M8_U5,โคกโพธิ์ไชย,บ้านโคก,8,5,15.9667,102.4333,564.0,393.0,560,393,366,21,6,167
KK10_CONST_โคกโพธิ์ไชย_บ้านโคก_M11_U6,โคกโพธิ์ไชย,บ้านโคก,11,6,15.9667,102.4333,418.0,262.0,420,262,239,16,7,158
KK10_CONST_โคกโพธิ์ไชย_โพธิ์ไชย_M10_U10,โคกโพธิ์ไชย,โพธิ์ไชย,10,10,15.9875,102.3958,474.0,311.0,480,311,289,16,6,169
KK10_CONST_โคกโพธิ์ไชย_โพธิ์ไชย_M1_U1,โคกโพธิ์ไชย,โพธิ์ไชย,1,1,15.9875,102.3958,637.0,422.0,640,422,397,22,3,218
KK10_CONST_โคกโพธิ์ไชย_โพธิ์ไชย_M2_U2,โคกโพธิ์ไชย,โพธิ์ไชย,2,2,15.9875,102.3958,553.0,383.0,560,383,351,26,6,177
KK10_CONST_โคกโพธิ์ไชย_โพธิ์ไชย_M3_U3,โคกโพธิ์ไชย,โพธิ์ไชย,3,3,15.9875,102.3958,767.0,488.0,780,488,457,25,6,292
KK10_CONST_โคกโพธิ์ไชย_โพธิ์ไชย_M4_U4,โคกโพธิ์ไชย,โพธิ์ไชย,4,4,15.9875,102.3958,648.0,359.0,660,359,337,22,0,301
KK10_CONST_โคกโพธิ์ไชย_โพธิ์ไชย_M5_U5,โคกโพธิ์ไชย,โพธิ์ไชย,5,5,15.9875,102.3958,672.0,404.0,700,404,359,35,10,296
KK10_CONST_โคกโพธิ์ไชย_โพธิ์ไชย_M6_U6,โคกโพธิ์ไชย,โพธิ์ไชย,6,6,15.9875,102.3958,413.0,241.0,420,241,220,17,4,179
KK10_CONST_โคกโพธิ์ไชย_โพธิ์ไชย_M7_U7,โคกโพธิ์ไชย,โพธิ์ไชย,7,7,15.9875,102.3958,623.0,384.0,600,384,347,21,16,216
KK10_CONST_โคกโพธิ์ไชย_โพธิ์ไชย_M8_U8,โคกโพธิ์ไชย,โพธิ์ไชย,8,8,15.9875,102.3958,423.0,232.0,440,232,215,17,0,208
KK10_CONST_โคกโพธิ์ไชย_โพธิ์ไชย_M9_U9,โคกโพธิ์ไชย,โพธิ์ไชย,9,9,15.9875,102.3958,407.0,291.0,420,291,266,16,9,129
KK10_CONST_เปือยน้อย_ขามป้อม_M10_U10,เปือยน้อย,ขามป้อม,10,10,15.8833,103.0083,211.0,141.0,200,141,133,7,1,59
KK10_CONST_เปือยน้อย_ขามป้อม_M1_U1,เปือยน้อย,ขามป้อม,1,1,15.8833,103.0083,482.0,280.0,480,280,274,5,1,200
KK10_CONST_เปือยน้อย_ขามป้อม_M2_U2,เปือยน้อย,ขามป้อม,2,2,15.8833,103.0083,589.0,322.0,580,322,300,21,1,258
KK10_CONST_เปือยน้อย_ขามป้อม_M3_U3,เปือยน้อย,ขามป้อม,3,3,15.8833,103.0083,461.0,269.0,460,269,249,18,2,191
KK10_CONST_เปือยน้อย_ขามป้อม_M4_U4,เปือยน้อย,ขามป้อม,4,4,15.8833,103.0083,741.0,442.0,740,442,418,21,3,298
KK10_CONST_เปือยน้อย_ขามป้อม_M5_U5,เปือยน้อย,ขามป้อม,5,5,15.8833,103.0083,345.0,233.0,340,233,226,6,1,107
KK10_CONST_เปือยน้อย_ขามป้อม_M6_U6,เปือยน้อย,ขามป้อม,6,6,15.8833,103.0083,562.0,328.0,560,328,311,14,3,232
KK10_CONST_เปือยน้อย_ขามป้อม_M7_U7,เปือยน้อย,ขามป้อม,7,7,15.8833,103.0083,520.0,285.0,520,285,260,11,14,235
KK10_CONST_เปือยน้อย_ขามป้อม_M8_U8,เปือยน้อย,ขามป้อม,8,8,15.8833,103.0083,227.0,115.0,220,115,111,3,1,105
KK10_CONST_เปือยน้อย_ขามป้อม_M9_U9,เปือยน้อย,ขามป้อม,9,9,15.8833,103.0083,414.0,232.0,400,232,213,18,1,168
KK10_CONST_เปือยน้อย_วังม่วง_M1_U1,เปือยน้อย,วังม่วง,1,1,15.8167,102.9083,838.0,526.0,820,526,494,24,8,294
KK10_CONST_เปือยน้อย_วังม่วง_M2_U2,เปือยน้อย,วังม่วง,2,2,15.8167,102.9083,822.0,550.0,800,550,522,24,4,250
KK10_CONST_เปือยน้อย_วังม่วง_M3_U3,เปือยน้อย,วังม่วง,3,3,15.8167,102.9083,521.0,344.0,500,344,338,5,1,156
KK10_CONST_เปือยน้อย_วังม่วง_M4_U4,เปือยน้อย,วังม่วง,4,4,15.8167,102.9083,677.0,473.0,680,473,453,18,2,207
KK10_CONST_เปือยน้อย_วังม่วง_M5_U5,เปือยน้อย,วังม่วง,5,5,15.8167,102.9083,355.0,202.0,340,202,188,13,1,138
KK10_CONST_เปือยน้อย_วังม่วง_M6_U6,เปือยน้อย,วังม่วง,6,6,15.8167,102.9083,552.0,324.0,540,324,305,12,7,216
KK10_CONST_เปือยน้อย_วังม่วง_M7_U7,เปือยน้อย,วังม่วง,7,7,15.8167,102.9083,1041.0,659.0,1040,659,618,41,0,381
KK10_CONST_เปือยน้อย_วังม่วง_M8_U8,เปือยน้อย,วังม่วง,8,8,15.8167,102.9083,506.0,308.0,500,308,288,17,3,192
KK10_CONST_เปือยน้อย_สระแก้ว_M1_U1,เปือยน้อย,สระแก้ว,1,1,15.8333,102.9583,524.0,315.0,500,315,295,18,2,185
KK10_CONST_เปือยน้อย_สระแก้ว_M2_U2,เปือยน้อย,สระแก้ว,2,2,15.8333,102.9583,530.0,348.0,520,348,321,25,2,172
KK10_CONST_เปือยน้อย_สระแก้ว_M3_U3,เปือยน้อย,สระแก้ว,3,3,15.8333,102.9583,243.0,143.0,240,143,129,13,1,97
KK10_CONST_เปือยน้อย_สระแก้ว_M5_U5,เปือยน้อย,สระแก้ว,5,5,15.8333,102.9583,315.0,198.0,300,198,190,6,2,102
KK10_CONST_เปือยน้อย_สระแก้ว_M6_U6,เปือยน้อย,สระแก้ว,6,6,15.8333,102.9583,331.0,187.0,320,187,182,4,1,133
KK10_CONST_เปือยน้อย_สระแก้ว_M7_U7,เปือยน้อย,สระแก้ว,7,7,15.8333,102.9583,744.0,553.0,770,553,512,36,5,217
KK10_CONST_เปือยน้อย_สระแก้ว_M4_U9,เปือยน้อย,สระแก้ว,4,9,15.8333,102.9583,317.0,201.0,300,201,192,7,2,99
KK10_CONST_เปือยน้อย_เปือยน้อย_M1_U1,เปือยน้อย,เปือยน้อย,1,1,15.8667,102.9167,665.0,466.0,660,466,437,18,11,194
KK10_CONST_เปือยน้อย_เปือยน้อย_M2_U2,เปือยน้อย,เปือยน้อย,2,2,15.8667,102.9167,471.0,280.0,460,280,258,19,3,180
KK10_CONST_เปือยน้อย_เปือยน้อย_M3_U3,เปือยน้อย,เปือยน้อย,3,3,15.8667,102.9167,627.0,411.0,620,411,399,11,1,209
KK10_CONST_เปือยน้อย_เปือยน้อย_M4_U4,เปือยน้อย,เปือยน้อย,4,4,15.8667,102.9167,603.0,370.0,600,370,349,16,5,230
KK10_CONST_เปือยน้อย_เปือยน้อย_M5_U5,เปือยน้อย,เปือยน้อย,5,5,15.8667,102.9167,261.0,159.0,240,159,150,6,3,81
KK10_CONST_เปือยน้อย_เปือยน้อย_M0_U6,เปือยน้อย,เปือยน้อย,0,6,15.8667,102.9167,274.0,162.0,260,162,152,7,3,98
KK10_CONST_เปือยน้อย_เปือยน้อย_M7_U7,เปือยน้อย,เปือยน้อย,7,7,15.8667,102.9167,575.0,362.0,560,362,344,10,8,198
KK10_CONST_หนองสองห้อง_คึมชาด_M10_U10,หนองสองห้อง,คึมชาด,10,10,15.7833,102.8917,346.0,235.0,340,235,225,9,1,105
KK10_CONST_หนองสองห้อง_คึมชาด_M1_U1,หนองสองห้อง,คึมชาด,1,1,15.7833,102.8917,412.0,229.0,400,229,224,4,1,171
