Unit_ID,Candidate_Number,Candidate_Name,Score
KK10_CONST_โนนศิลา_หนองปลาหมอ_M1_U1,4,นายวิระศักดิ์ สายทอง,5
KK10_CONST_โนนศิลา_หนองปลาหมอ_M1_U1,5,นายพชรกร อรรณนพพร,141
KK10_CONST_โนนศิลา_หนองปลาหมอ_M1_U1,6,นายประยูร เทียมทะนง,1
KK10_CONST_โนนศิลา_หนองปลาหมอ_M2_U2,1,นายวันนิวัติ สมบูรณ์,72
KK10_CONST_โนนศิลา_หนองปลาหมอ_M2_U2,2,ร.ต.ท.สงวน คมขาว,1
KK10_CONST_โนนศิลา_หนองปลาหมอ_M2_U2,3,นายนิวัตร สระพรม,16
KK10_CONST_โนนศิลา_หนองปลาหมอ_M2_U2,4,นายวิระศักดิ์ สายทอง,0
KK10_CONST_โนนศิลา_หนองปลาหมอ_M2_U2,5,นายพชรกร อรรณนพพร,55
KK10_CONST_โนนศิลา_หนองปลาหมอ_M2_U2,6,นายประยูร เทียมทะนง,1
KK10_CONST_โนนศิลา_หนองปลาหมอ_M3_U3,1,นายวันนิวัติ สมบูรณ์,108
KK10_CONST_โนนศิลา_หนองปลาหมอ_M3_U3,2,ร.ต.ท.สงวน คมขาว,1
KK10_CONST_โนนศิลา_หนองปลาหมอ_M3_U3,3,นายนิวัตร สระพรม,15
KK10_CONST_โนนศิลา_หนองปลาหมอ_M3_U3,4,นายวิระศักดิ์ สายทอง,4
KK10_CONST_โนนศิลา_หนองปลาหมอ_M3_U3,5,นายพชรกร อรรณนพพร,114
KK10_CONST_โนนศิลา_หนองปลาหมอ_M3_U3,6,นายประยูร เทียมทะนง,0
KK10_CONST_โนนศิลา_หนองปลาหมอ_M4_U4,1,นายวันนิวัติ สมบูรณ์,87
KK10_CONST_โนนศิลา_หนองปลาหมอ_M4_U4,2,ร.ต.ท.สงวน คมขาว,0
KK10_CONST_โนนศิลา_หนองปลาหมอ_M4_U4,3,นายนิวัตร สระพรม,45
KK10_CONST_โนนศิลา_หนองปลาหมอ_M4_U4,4,นายวิระศักดิ์ สายทอง,2
KK10_CONST_โนนศิลา_หนองปลาหมอ_M4_U4,5,นายพชรกร อรรณนพพร,69
KK10_CONST_โนนศิลา_หนองปลาหมอ_M4_U4,6,นายประยูร เทียมทะนง,2
KK10_CONST_โนนศิลา_หนองปลาหมอ_M5_U5,1,นายวันนิวัติ สมบูรณ์,106
KK10_CONST_โนนศิลา_หนองปลาหมอ_M5_U5,2,ร.ต.ท.สงวน คมขาว,4
KK10_CONST_โนนศิลา_หนองปลาหมอ_M5_U5,3,นายนิวัตร สระพรม,26
KK10_CONST_โนนศิลา_หนองปลาหมอ_M5_U5,4,นายวิระศักดิ์ สายทอง,6
KK10_CONST_โนนศิลา_หนองปลาหมอ_M5_U5,5,นายพชรกร อรรณนพพร,215
KK10_CONST_โนนศิลา_หนองปลาหมอ_M5_U5,6,นายประยูร เทียมทะนง,0
