Unit_ID,District,Subdistrict,Village_No,Unit_No,Latitude,Longitude,Eligible_Voters,Voters_Showed_Up,Allocated_Ballots,Used_Ballots,Valid_Ballots,Invalid_Ballots,No_Vote_Ballots,Remaining_Ballots
KK10_โคกโพธิ์ไชย_ซับสมบูรณ์_M7_U7,โคกโพธิ์ไชย,ซับสมบูรณ์,7,7,15.9442,102.3081,416,231.0,420.0,231.0,214.0,12.0,5.0,189.0
KK10_โคกโพธิ์ไชย_ซับสมบูรณ์_M8_U8,โคกโพธิ์ไชย,ซับสมบูรณ์,8,8,15.9442,102.3081,240,172.0,260.0,172.0,156.0,16.0,0.0,88.0
KK10_โคกโพธิ์ไชย_ซับสมบูรณ์_M9_U9,โคกโพธิ์ไชย,ซับสมบูรณ์,9,9,15.9442,102.3081,489,293.0,500.0,293.0,272.0,18.0,3.0,207.0
KK10_โคกโพธิ์ไชย_นาแพง_M1_U1,โคกโพธิ์ไชย,นาแพง,1,1,15.9167,102.3583,462,271.0,480.0,271.0,251.0,17.0,3.0,209.0
KK10_โคกโพธิ์ไชย_นาแพง_M2_U2,โคกโพธิ์ไชย,นาแพง,2,2,15.9167,102.3583,715,423.0,,,,,,
KK10_โคกโพธิ์ไชย_นาแพง_M3_U3,โคกโพธิ์ไชย,นาแพง,3,3,15.9167,102.3583,343,205.0,360.0,205.0,189.0,14.0,2.0,155.0
KK10_โคกโพธิ์ไชย_นาแพง_M4_U4,โคกโพธิ์ไชย,นาแพง,4,4,15.9167,102.3583,429,293.0,440.0,293.0,276.0,13.0,4.0,147.0
KK10_โคกโพธิ์ไชย_นาแพง_M5_U5,โคกโพธิ์ไชย,นาแพง,5,5,15.9167,102.3583,499,346.0,520.0,346.0,310.0,33.0,3.0,174.0
KK10_โคกโพธิ์ไชย_นาแพง_M6_U6,โคกโพธิ์ไชย,นาแพง,6,6,15.9167,102.3583,416,299.0,440.0,299.0,274.0,24.0,1.0,141.0
KK10_โคกโพธิ์ไชย_นาแพง_M7_U7,โคกโพธิ์ไชย,นาแพง,7,7,15.9167,102.3583,374,253.0,400.0,253.0,233.0,18.0,2.0,147.0
KK10_โคกโพธิ์ไชย_นาแพง_M9_U8,โคกโพธิ์ไชย,นาแพง,9,8,15.9167,102.3583,594,316.0,590.0,316.0,299.0,10.0,7.0,274.0
KK10_โคกโพธิ์ไชย_บ้านโคก_M1_U1,โคกโพธิ์ไชย,บ้านโคก,1,1,15.9667,102.4333,542,353.0,560.0,353.0,325.0,24.0,4.0,207.0
